Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.90%,99.99%,100%
GET,/api/v1/accounts/114559319058558738/followers,7,0,140,135.1126186,118.302753,156.331525,2,0.007758207,0,140,140,140,140,160,160,160,160,160,160,160
GET,/api/v1/accounts/114559319058558738/following,10,0,150,147.2552719,126.985479,164.542893,1710.5,0.011083152,0,150,150,150,160,160,160,160,160,160,160,160
GET,/api/v1/accounts/114559319098063404/followers,10,0,130,134.2907241,122.734086,151.028714,2,0.011083152,0,140,140,140,140,150,150,150,150,150,150,150
GET,/api/v1/accounts/114559319098063404/following,9,0,140,138.6187737,127.798684,149.125762,895,0.009974837,0,140,140,150,150,150,150,150,150,150,150,150
GET,/api/v1/accounts/114559319115345546/followers,4,0,130.514689,140.3979508,130.514689,154.884322,2,0.004433261,0,140,140,150,150,150,150,150,150,150,150,150
GET,/api/v1/accounts/114559319115345546/following,10,0,140,144.2162871,127.835087,169.269051,1455.8,0.011083152,0,140,150,150,150,170,170,170,170,170,170,170
GET,/api/v1/accounts/114559319149861030/followers,4,0,140,137.6220987,127.672367,143.311412,2,0.004433261,0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v1/accounts/114559319149861030/following,10,0,150,148.1987922,135.839829,162.480092,3859,0.011083152,0,150,150,150,160,160,160,160,160,160,160,160
GET,/api/v1/accounts/114559319184750125/followers,10,0,140,137.1909085,125.027795,150.807334,2,0.011083152,0,140,140,140,150,150,150,150,150,150,150,150
GET,/api/v1/accounts/114559319184750125/following,7,0,140,147.5107431,132.256877,168.172758,1950.714286,0.007758207,0,140,150,160,160,170,170,170,170,170,170,170
GET,/api/v1/accounts/114559319220312241/followers,9,0,130,135.3398284,120.558184,178.400049,2,0.009974837,0,130,130,140,140,180,180,180,180,180,180,180
GET,/api/v1/accounts/114559319220312241/following,10,0,140,144.1549128,133.67945,157.021397,1455.8,0.011083152,0,140,150,150,150,160,160,160,160,160,160,160
GET,/api/v1/accounts/114559319253925113/followers,14,0,130,138.8989092,125.716777,203.461052,2,0.015516413,0,140,140,140,140,140,200,200,200,200,200,200
GET,/api/v1/accounts/114559319253925113/following,2,0,144.585733,147.0215075,144.585733,149.457282,3115.5,0.00221663,0,150,150,150,150,150,150,150,150,150,150,150
GET,/api/v1/accounts/114559319286617164/followers,7,0,140,136.7285043,126.269866,143.965489,2,0.007758207,0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v1/accounts/114559319286617164/following,5,0,150,146.847142,137.611387,155.830873,3222.8,0.005541576,0,150,150,150,160,160,160,160,160,160,160,160
GET,/api/v1/accounts/114559319318338620/followers,6,0,139.203299,131.7007995,119.232841,139.203299,2,0.006649891,0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v1/accounts/114559319318338620/following,5,0,140,141.321611,130.316816,147.63455,643.8,0.005541576,0,140,150,150,150,150,150,150,150,150,150,150
GET,/api/v1/accounts/114559319346189991/followers,8,0,130,129.5979591,116.870683,139.663707,2,0.008866522,0,140,140,140,140,140,140,140,140,140,140,140
GET,/api/v1/accounts/114559319346189991/following,7,0,140,147.016798,129.531585,160.498529,2078.142857,0.007758207,0,140,150,160,160,160,160,160,160,160,160,160
POST,/api/v1/accounts/114559319534327445/follow,2,0,164.182124,173.1726995,164.182124,182.163275,292,0.00221663,0,180,180,180,180,180,180,180,180,180,180,180
POST,/api/v1/accounts/114559319534327445/unfollow,2,0,181.813955,227.023789,181.813955,272.233623,294,0.00221663,0,270,270,270,270,270,270,270,270,270,270,270
POST,/api/v1/accounts/114559319752918326/follow,1,0,168.813141,168.813141,168.813141,168.813141,292,0.001108315,0,170,170,170,170,170,170,170,170,170,170,170
POST,/api/v1/accounts/114559319752918326/unfollow,1,0,160.714753,160.714753,160.714753,160.714753,294,0.001108315,0,160,160,160,160,160,160,160,160,160,160,160
POST,/api/v1/accounts/114559319809119792/follow,1,0,156.043741,156.043741,156.043741,156.043741,292,0.001108315,0,160,160,160,160,160,160,160,160,160,160,160
POST,/api/v1/accounts/114559319809119792/unfollow,1,0,304.18057,304.18057,304.18057,304.18057,294,0.001108315,0,300,300,300,300,300,300,300,300,300,300,300
POST,/api/v1/accounts/114559319989243520/follow,1,0,163.386906,163.386906,163.386906,163.386906,292,0.001108315,0,160,160,160,160,160,160,160,160,160,160,160
POST,/api/v1/accounts/114559319989243520/unfollow,1,0,160.542339,160.542339,160.542339,160.542339,294,0.001108315,0,160,160,160,160,160,160,160,160,160,160,160
POST,/api/v1/accounts/114559320093931772/follow,1,0,172.385069,172.385069,172.385069,172.385069,292,0.001108315,0,170,170,170,170,170,170,170,170,170,170,170
POST,/api/v1/accounts/114559320093931772/unfollow,1,0,167.903967,167.903967,167.903967,167.903967,294,0.001108315,0,170,170,170,170,170,170,170,170,170,170,170
POST,/api/v1/accounts/114559320195988480/follow,2,0,160,171.5014365,155.621098,187.381775,292,0.00221663,0,190,190,190,190,190,190,190,190,190,190,190
